
========================================
🚗 MARCA: Alfa Romeo (9 variante de model listate)
========================================
  - Giulia  (21 anunturi)
  - A6 35  (2 anunturi)
  - A6 40  (2 anunturi)
  - A6 45  (1 anunturi)
  - A6 Allroad  (25 anunturi)
  - A6 Allroad C7  (1 anunturi)
  - A6 C7  (3 anunturi)
  - A6 C7 Ultra  (1 anunturi)
  - A6 Premium  (2 anunturi)
  - A6 S-Tronic Ultra  (1 anunturi)
  - A6 Sline 20Tdi Ultra  (1 anunturi)
  - A6-Allroad -C7  (1 anunturi)
  - A7  (24 anunturi)
  - A7 -C7  (1 anunturi)
  - A7 Premium  (1 anunturi)
  - A8  (8 anunturi)
  - A8 Long Euro5  (1 anunturi)
  - A8 Matrix  (1 anunturi)
  - A8L  (1 anunturi)
  - B8 Allroad  (1 anunturi)
  - E-Tron  (1 anunturi)
  - E-Tron 50  (1 anunturi)
  - Q2  (76 anunturi)
  - Q2 - Second Hand  (1 anunturi)
  - Q2 20Tdi  (1 anunturi)
  - Q2 35  (3 anunturi)
  - Q2 Sport  (4 anunturi)
  - Q3  (156 anunturi)
  - Q3 35  (1 anunturi)
  - Q3 Din  (1 anunturi)
  - Q3 Panoramicalcantara  (1 anunturi)
  - Q3 Perfecta  (1 anunturi)
  - Q3 Premium  (1 anunturi)
  - Q3 Sport  (4 anunturi)
  - Q5  (192 anunturi)
  - Q5 -8R  (1 anunturi)
  - Q5 -Fy  (1 anunturi)
  - Q5 20Tdi Vindem In  (1 anunturi)
  - Q5 8R  (1 anunturi)
  - Q5 Plus  (2 anunturi)
  - Q5 Premium  (3 anunturi)
  - Q5 Sport  (7 anunturi)
  - Q7  (12 anunturi)
  - Q7 50  (1 anunturi)
  - Q7 Panoramic De 10 Anidpf On  (1 anunturi)
  - S3  (3 anunturi)
  - S4  (1 anunturi)
  - S5  (2 anunturi)
  - S6  (2 anunturi)
  - S7  (1 anunturi)
  - Sq5  (6 anunturi)
  - Sq5 Sport  (1 anunturi)
  - Tt  (7 anunturi)
  - Tt S  (1 anunturi)

========================================
🚗 MARCA: BMW (334 variante de model listate)
========================================
  - 118I  (2 anunturi)
  - 120I  (1 anunturi)
  - 218I Tourer Inclus  (1 anunturi)
  - 225Xe Plug-In  (1 anunturi)
  - 228I F23  (1 anunturi)
  - 318I  (1 anunturi)
  - 320E  (1 anunturi)
  - 320I  (1 anunturi)
  - 320I Gt  (1 anunturi)
  - 320Xdrive  (1 anunturi)
  - 330E  (4 anunturi)
  - 330E Iperformance  (2 anunturi)
  - 330E Line  (1 anunturi)
  - 330E Plug-In  (2 anunturi)
  - 335I F30  (1 anunturi)
  - 420I Gran F36  (2 anunturi)
  - 420I Grancoupe Pachet Reali  (1 anunturi)
  - 428I  (2 anunturi)
  - 428I M Paket 73000Km Impecabila  (1 anunturi)
  - 5 Gt  (1 anunturi)
  - 520Xd Euro 6 Hud  (1 anunturi)
  - 528I Maro Hud  (1 anunturi)
  - 530E  (2 anunturi)
  - 530E M  (1 anunturi)
  - F10  (4 anunturi)
  - F10 Euro 6  (1 anunturi)
  - F20  (1 anunturi)
  - F20 Seria 1  (2 anunturi)
  - F30  (8 anunturi)
  - F30 Lci 320I  (1 anunturi)
  - F30 M Lci B48  (1 anunturi)
  - F31  (5 anunturi)
  - F36  (1 anunturi)
  - G30  (1 anunturi)
  - G31  (1 anunturi)
  - G31 Seria 5  (1 anunturi)
  - Grand Tourer Seria 2 Din  (1 anunturi)
  - I3  (26 anunturi)
  - I3 94 Ah  (2 anunturi)
  - I3 94Ah  (1 anunturi)
  - I4  (2 anunturi)
  - M5 M550D Sport  (1 anunturi)
  - M5 M550I At  (1 anunturi)
  - M550  (1 anunturi)
  - Rulat In Franta  (1 anunturi)
  - Seria  (3 anunturi)
  - Seria 1  (238 anunturi)
  - Seria 1 114I  (2 anunturi)
  - Seria 1 114I Sport Line  (1 anunturi)
  - Seria 1 116I Line  (2 anunturi)
  - Seria 1 116I Metropolitan  (1 anunturi)
  - Seria 1 116I Sport  (1 anunturi)
  - Seria 1 116I Sport Line  (3 anunturi)
  - Seria 1 118I  (9 anunturi)
  - Seria 1 118I Advantage  (4 anunturi)
  - Seria 1 118I Line  (4 anunturi)
  - Seria 1 118I Sport Line  (3 anunturi)
  - Seria 1 120I  (2 anunturi)
  - Seria 1 120I Standard  (1 anunturi)
  - Seria 1 125I At  (1 anunturi)
  - Seria 1 Bmw 125I  (1 anunturi)
  - Seria 1 F20  (3 anunturi)
  - Seria 1 F20 Lci  (2 anunturi)
  - Seria 1 F40  (3 anunturi)
  - Seria 1 F40 118I  (1 anunturi)
  - Seria 1Pachet M  (1 anunturi)
  - Seria 2  (117 anunturi)
  - Seria 2 216I Advantage  (1 anunturi)
  - Seria 2 216I Gran Tourer 80000  (1 anunturi)
  - Seria 2 216I Gran Tourer 82000 Advantage  (1 anunturi)
  - Seria 2 218I  (5 anunturi)
  - Seria 2 218I Advantage Gran Automatic  (1 anunturi)
  - Seria 2 218I Line  (4 anunturi)
  - Seria 2 218I Tourer Super  (2 anunturi)
  - Seria 2 220I At Line  (1 anunturi)
  - Seria 2 225Xe At Line  (1 anunturi)
  - Seria 2 225Xe At Sport Line  (1 anunturi)
  - Seria 2 225Xe Iperformance  (1 anunturi)
  - Seria 2 225Xe Iperformance Sport Line  (1 anunturi)
  - Seria 2 7 Locuri  (1 anunturi)
  - Seria 2 Activ Tourer  (1 anunturi)
  - Seria 2 F22  (1 anunturi)
  - Seria 2 Gran Tourer  (1 anunturi)
  - Seria 2 Grand Tourer  (2 anunturi)
  - Seria 2 Tourer  (3 anunturi)
  - Seria 3  (425 anunturi)
  - Seria 3 - F30 - Lci - B47  (1 anunturi)
  - Seria 3 - G20  (1 anunturi)
  - Seria 3 09  (1 anunturi)
  - Seria 3 316I  (1 anunturi)
  - Seria 3 316I Sport Line  (1 anunturi)
  - Seria 3 318I  (2 anunturi)
  - Seria 3 320I  (4 anunturi)
  - Seria 3 320I Advantage  (2 anunturi)
  - Seria 3 320I At  (4 anunturi)
  - Seria 3 320I Efficient Dynamics Line  (1 anunturi)
  - Seria 3 320I Line  (1 anunturi)
  - Seria 3 320I Sport Line  (1 anunturi)
  - Seria 3 328I Sport- Sport Line  (1 anunturi)
  - Seria 3 330E  (2 anunturi)
  - Seria 3 330E At  (1 anunturi)
  - Seria 3 330E Iperformance  (7 anunturi)
  - Seria 3 330E Iperformance At  (1 anunturi)
  - Seria 3 330E Iperformance At Advantage  (1 anunturi)
  - Seria 3 330E Iperformance At Line  (1 anunturi)
  - Seria 3 330E Iperformance At Sport Line  (1 anunturi)
  - Seria 3 330E Iperformance Line  (1 anunturi)
  - Seria 3 330E Iperformance M Sportpachet  (1 anunturi)
  - Seria 3 330E Line  (1 anunturi)
  - Seria 3 330I At Line  (1 anunturi)
  - Seria 3 330I Sport Line De  (1 anunturi)
  - Seria 3 Activehybrid At  (1 anunturi)
  - Seria 3 Activehybrid Sport Line  (1 anunturi)
  - Seria 3 F30  (3 anunturi)
  - Seria 3 F30 320I  (1 anunturi)
  - Seria 3 F30 330E Plug-In  (1 anunturi)
  - Seria 3 F30 B47 Keyless Go Entry  (1 anunturi)
  - Seria 3 F30 Lci  (2 anunturi)
  - Seria 3 F31  (2 anunturi)
  - Seria 3 G20  (1 anunturi)
  - Seria 3 G20 Paketmline Asisstled Inm  (1 anunturi)
  - Seria 3 G21  (1 anunturi)
  - Seria 3 G21 Mild  (1 anunturi)
  - Seria 3 Gt  (20 anunturi)
  - Seria 3 Gt Automatic  (1 anunturi)
  - Seria 3 Gt F34  (2 anunturi)
  - Seria 4  (137 anunturi)
  - Seria 4 - B47  (1 anunturi)
  - Seria 4 418I Gran  (1 anunturi)
  - Seria 4 418I Gran F36  (1 anunturi)
  - Seria 4 420I  (2 anunturi)
  - Seria 4 420I - Laser  (1 anunturi)
  - Seria 4 420I Advantage  (1 anunturi)
  - Seria 4 420I At  (2 anunturi)
  - Seria 4 420I Sport  (1 anunturi)
  - Seria 4 420I Sport Line  (1 anunturi)
  - Seria 4 420I Sport- Sport Line  (1 anunturi)
  - Seria 4 428I Sport  (1 anunturi)
  - Seria 4 428I Sport- Modern Line  (1 anunturi)
  - Seria 4 430I  (1 anunturi)
  - Seria 4 430I Sport  (1 anunturi)
  - Seria 4 430I Sport Line  (1 anunturi)
  - Seria 4 435I Sport  (1 anunturi)
  - Seria 4 Bmw Seria 4  (1 anunturi)
  - Seria 4 Cupe  (1 anunturi)
  - Seria 4 F32  (1 anunturi)
  - Seria 4 F32 M Performanceledcamereharmankardonhead Up  (1 anunturi)
  - Seria 4 Gran  (1 anunturi)
  - Seria 4 Gran 420I  (1 anunturi)
  - Seria 4 Grancoupe  (1 anunturi)
  - Seria 4 Grancoupe Sport Line  (1 anunturi)
  - Seria 4 Grand  (1 anunturi)
  - Seria 4 Lci 430I B48 F36 - Bmw  (1 anunturi)
  - Seria 5  (309 anunturi)
  - Seria 5 520I  (1 anunturi)
  - Seria 5 520I Modern Line  (1 anunturi)
  - Seria 5 528I - Line  (1 anunturi)
  - Seria 5 528I At  (2 anunturi)
  - Seria 5 530E  (1 anunturi)
  - Seria 5 530I At  (1 anunturi)
  - Seria 5 535I Line  (1 anunturi)
  - Seria 5 550I Gran Turismo Line  (1 anunturi)
  - Seria 5 550I Line  (1 anunturi)
  - Seria 5 Euro 6  (1 anunturi)
  - Seria 5 F10  (3 anunturi)
  - Seria 5 F10 B47  (2 anunturi)
  - Seria 5 F11  (1 anunturi)
  - Seria 5 F11 Lci  (2 anunturi)
  - Seria 5 G30  (1 anunturi)
  - Seria 5 G30 20D  (1 anunturi)
  - Seria 5 G30 Eu6  (1 anunturi)
  - Seria 5 G31  (1 anunturi)
  - Seria 5 Gt  (1 anunturi)
  - Seria 5 M550D  (1 anunturi)
  - Seria 5 Ver  (1 anunturi)
  - Seria 6  (12 anunturi)
  - Seria 6 640I  (1 anunturi)
  - Seria 7  (5 anunturi)
  - Seria 7 740E Iperformance  (1 anunturi)
  - Seria 7 740Li  (1 anunturi)
  - Seria 7 745E At  (1 anunturi)
  - Seria 7 750I  (2 anunturi)
  - Seria 7 750Ld Blue Performance  (1 anunturi)
  - Seria 7 F01  (1 anunturi)
  - Seria 8  (1 anunturi)
  - Seria I3  (1 anunturi)
  - Seria-1 -F20-F21  (1 anunturi)
  - Seria-2  (3 anunturi)
  - Seria-3  (1 anunturi)
  - Seria-3 -F30-F31-F34  (13 anunturi)
  - Seria-3 -G20-G21  (4 anunturi)
  - Seria-4  (1 anunturi)
  - Seria-4 -F32-F33-F36  (2 anunturi)
  - Seria-5  (2 anunturi)
  - Seria-5 -F10-F11-F07  (3 anunturi)
  - Seria-5 -G30-G31  (4 anunturi)
  - Seria2- Perfecta Tractiune Fatainterior  (1 anunturi)
  - Serie 4  (1 anunturi)
  - X 1  (1 anunturi)
  - X1  (349 anunturi)
  - X1 -F48  (3 anunturi)
  - X1 18D  (1 anunturi)
  - X1 18I  (1 anunturi)
  - X1 18X Drive  (1 anunturi)
  - X1 1999Mc Doar Doi Soferi Au Condus Masina  (1 anunturi)
  - X1 20D  (5 anunturi)
  - X1 25D  (1 anunturi)
  - X1 Advantage  (10 anunturi)
  - X1 Bmw X1  (1 anunturi)
  - X1 De  (1 anunturi)
  - X1 F 48  (1 anunturi)
  - X1 F48  (2 anunturi)
  - X1 New  (2 anunturi)
  - X1 Pachet M  (1 anunturi)
  - X1 Panorama Interior  (1 anunturi)
  - X1 Perfecta  (1 anunturi)
  - X1 S-Drive  (2 anunturi)
  - X1 Sdrive  (4 anunturi)
  - X1 Sdrive16D  (3 anunturi)
  - X1 Sdrive16D Efficient Dynamic  (1 anunturi)
  - X1 Sdrive16D Standard  (1 anunturi)
  - X1 Sdrive18D  (19 anunturi)
  - X1 Sdrive18D Advantage  (4 anunturi)
  - X1 Sdrive18D Sport Line  (7 anunturi)
  - X1 Sdrive18D Standard  (1 anunturi)
  - X1 Sdrive18I  (6 anunturi)
  - X1 Sdrive18I Advantage  (1 anunturi)
  - X1 Sdrive20D  (3 anunturi)
  - X1 Sdrive20I Advantage  (1 anunturi)
  - X1 Sdrive20I At  (1 anunturi)
  - X1 Sport Line  (23 anunturi)
  - X1 X Drive X Line  (1 anunturi)
  - X1 Xdrive18D  (18 anunturi)
  - X1 Xdrive18D Advantage  (4 anunturi)
  - X1 Xdrive18D Sport Line  (6 anunturi)
  - X1 Xdrive20D  (18 anunturi)
  - X1 Xdrive20D Advantage  (2 anunturi)
  - X1 Xdrive20D At  (1 anunturi)
  - X1 Xdrive20D Sport Line  (7 anunturi)
  - X1 Xdrive20I Advantage  (1 anunturi)
  - X1 Xdrive20I At  (1 anunturi)
  - X1 Xdrive20I At Advantage  (1 anunturi)
  - X1 Xdrive20I Sport Line  (1 anunturi)
  - X1 Xdrive25D  (4 anunturi)
  - X1 Xdrive25D Advantage  (1 anunturi)
  - X1 Xdrive25D At  (2 anunturi)
  - X1 Xdrive25D Sport Line  (2 anunturi)
  - X1 Xdrive25E  (2 anunturi)
  - X1 Xdrive25E Advantage  (5 anunturi)
  - X1 Xdrive25E At  (3 anunturi)
  - X1F48Head-Upcamereleddistronic  (1 anunturi)
  - X2  (42 anunturi)
  - X2 20D  (1 anunturi)
  - X2 Advantage  (1 anunturi)
  - X2 Paket M Original Accept Unele  (1 anunturi)
  - X2 Sdrive18D  (1 anunturi)
  - X2 Sdrive18D Advantage Plus  (1 anunturi)
  - X2 Sdrive18D X  (1 anunturi)
  - X2 Sdrive18I  (1 anunturi)
  - X2 Sport Line  (1 anunturi)
  - X2 Xdrive18D  (1 anunturi)
  - X2 Xdrive20D  (2 anunturi)
  - X2 Xdrive20D At  (1 anunturi)
  - X2 Xdrive20D X  (2 anunturi)
  - X2 Xdrive25E Advantage Plus  (1 anunturi)
  - X3  (141 anunturi)
  - X3 -G01  (1 anunturi)
  - X3 20D  (1 anunturi)
  - X3 Advantage  (4 anunturi)
  - X3 Bmw X3  (1 anunturi)
  - X3 F25 Lci  (2 anunturi)
  - X3 Line  (1 anunturi)
  - X3 Panoramic  (1 anunturi)
  - X3 Performance  (1 anunturi)
  - X3 S28I  (1 anunturi)
  - X3 Sdrive18D  (2 anunturi)
  - X3 Sdrive18D Advantage  (1 anunturi)
  - X3 Sport Line  (4 anunturi)
  - X3 Ver-Xdrive20D  (1 anunturi)
  - X3 X Line  (1 anunturi)
  - X3 Xdrive20D  (23 anunturi)
  - X3 Xdrive20D Advantage  (3 anunturi)
  - X3 Xdrive20D At  (7 anunturi)
  - X3 Xdrive20D At Advantage  (4 anunturi)
  - X3 Xdrive20D At Standard  (6 anunturi)
  - X3 Xdrive20D Blue Performance  (1 anunturi)
  - X3 Xdrive20D Limited Sport  (1 anunturi)
  - X3 Xdrive20D Line  (2 anunturi)
  - X3 Xdrive20I At  (2 anunturi)
  - X3 Xdrive28I Advantage  (1 anunturi)
  - X3 Xdrive28I Sport  (1 anunturi)
  - X3F25  (1 anunturi)
  - X3Xdrive20D  (1 anunturi)
  - X4  (64 anunturi)
  - X4 - Individual  (1 anunturi)
  - X4 -F26  (4 anunturi)
  - X4 Bmw X4 - - Revizii La Zi  (1 anunturi)
  - X4 Sport Line  (2 anunturi)
  - X4 X Drive  (1 anunturi)
  - X4 Xdrive20D  (21 anunturi)
  - X4 Xdrive20D Advantage  (1 anunturi)
  - X4 Xdrive20I At  (1 anunturi)
  - X4 Xdrive28I  (1 anunturi)
  - X4 Xdrive30D  (1 anunturi)
  - X4 Xdrive30D At  (2 anunturi)
  - X5  (49 anunturi)
  - X5 -F15--25  (1 anunturi)
  - X5 40E  (1 anunturi)
  - X5 45E Plugin  (1 anunturi)
  - X5 F15  (1 anunturi)
  - X5 M  (2 anunturi)
  - X5 Sdrive25D  (2 anunturi)
  - X5 Sdrive25D Sport  (1 anunturi)
  - X5 Sport Line  (3 anunturi)
  - X5 Super  (1 anunturi)
  - X5 X Drive F15  (1 anunturi)
  - X5 Xdrive25 Vindem In  (1 anunturi)
  - X5 Xdrive25D  (7 anunturi)
  - X5 Xdrive25D Sport  (7 anunturi)
  - X5 Xdrive30D  (7 anunturi)
  - X5 Xdrive30D Sport  (2 anunturi)
  - X5 Xdrive35I  (2 anunturi)
  - X5 Xdrive35I Sport  (1 anunturi)
  - X5 Xdrive40D Sport  (1 anunturi)
  - X5 Xdrive40E  (2 anunturi)
  - X6  (10 anunturi)
  - X6 35I  (1 anunturi)
  - X6 E71 30D  (1 anunturi)
  - X6 Individual Option Ofer Diferenta  (1 anunturi)
  - X6 Ozn 30D Laserskyloungegrila Luminata  (1 anunturi)
  - X6 Xdrive30D  (1 anunturi)
  - X6 Xdrive35I  (1 anunturi)
  - X6 Xdrive40D  (1 anunturi)
  - Z4  (2 anunturi)

========================================
🚗 MARCA: Chevrolet (6 variante de model listate)
========================================
  - Aveo  (2 anunturi)
  - Captiva  (1 anunturi)
  - Captiva 22D 7 Locuri Ltz Black Leather  (1 anunturi)
  - Cruze  (5 anunturi)
  - Spark  (5 anunturi)
  - Trax  (6 anunturi)

========================================
🚗 MARCA: Citroën (106 variante de model listate)
========================================
  - Berlingo  (19 anunturi)
  - Berlingo -Iii  (1 anunturi)
  - Berlingo Feel  (2 anunturi)
  - Berlingo Selection  (1 anunturi)
  - C Elisse  (1 anunturi)
  - C Elize  (1 anunturi)
  - C Elysee  (3 anunturi)
  - C- Elysee  (1 anunturi)
  - C-Elysee  (24 anunturi)
  - C-Elysee 12I  (2 anunturi)
  - C-Elysee 15Hdi Vindem In  (1 anunturi)
  - C-Elysee 16Hdi  (1 anunturi)
  - C-Elysee 82 Selection  (4 anunturi)
  - C-Elysee I  (8 anunturi)
  - C-Elysee I Live  (1 anunturi)
  - C-Zero  (1 anunturi)
  - C1  (3 anunturi)
  - C1 Feel  (1 anunturi)
  - C3  (236 anunturi)
  - C3 -Iii  (1 anunturi)
  - C3 Aircross  (37 anunturi)
  - C3 Aircross 82 Feel  (1 anunturi)
  - C3 Aircross Feel  (3 anunturi)
  - C3 Anul  (2 anunturi)
  - C3 Feel  (5 anunturi)
  - C3 Iii  (1 anunturi)
  - C3 Live  (1 anunturi)
  - C3 Picaso  (1 anunturi)
  - C3 Picasso  (3 anunturi)
  - C3 Pure Tech  (6 anunturi)
  - C3 Pure Tech 68 Live  (1 anunturi)
  - C3 Pure Tech 82 Feel  (2 anunturi)
  - C3 Pure Tech 82 Shine  (2 anunturi)
  - C3 Pure Tech 83 Feel Pack  (1 anunturi)
  - C3 Pure Tech 83 Shine  (1 anunturi)
  - C3 Shine  (3 anunturi)
  - C4  (257 anunturi)
  - C4 Aircross  (3 anunturi)
  - C4 Cactus  (32 anunturi)
  - C4 Cactus 82 Class  (1 anunturi)
  - C4 Cactus 82 Feel  (2 anunturi)
  - C4 Cactus E  (1 anunturi)
  - C4 Cactus E-Thp Bvm Shine  (2 anunturi)
  - C4 Cactus Feel  (1 anunturi)
  - C4 Cactus Feel - - Automatic  (1 anunturi)
  - C4 Cactus Pure Tech  (4 anunturi)
  - C4 Cactus Vti Summer  (1 anunturi)
  - C4 Class  (1 anunturi)
  - C4 Exceptionala  (1 anunturi)
  - C4 Feel  (8 anunturi)
  - C4 Feel Pack  (2 anunturi)
  - C4 Feel Pack 15Hdi  (1 anunturi)
  - C4 Grand Picasso  (4 anunturi)
  - C4 Grand Picasso 7 Seater  (1 anunturi)
  - C4 Grand Space Tourer  (8 anunturi)
  - C4 Live  (1 anunturi)
  - C4 Live Pack  (1 anunturi)
  - C4 Picasso  (11 anunturi)
  - C4 Picasso E  (1 anunturi)
  - C4 Picasso Thp  (1 anunturi)
  - C4 Picasso Vti  (1 anunturi)
  - C4 Shine  (9 anunturi)
  - C4 Space Tourer  (5 anunturi)
  - C4 Start  (1 anunturi)
  - C4 X  (1 anunturi)
  - C4-Picasso -Ii  (1 anunturi)
  - C4X  (7 anunturi)
  - C5  (48 anunturi)
  - C5 Aircross  (98 anunturi)
  - C5 Aircross Class  (1 anunturi)
  - C5 Aircross Feel  (5 anunturi)
  - C5 Aircross Live  (3 anunturi)
  - C5 Aircross Plug In  (1 anunturi)
  - C5 Aircross Pure Tech  (5 anunturi)
  - C5 Aircross Shine  (9 anunturi)
  - C5 Exlusive 20Dci  (1 anunturi)
  - C5 Thp  (1 anunturi)
  - C5 Tourer  (1 anunturi)
  - C5 X  (2 anunturi)
  - C5-Aircross  (3 anunturi)
  - C5-X  (1 anunturi)
  - C6  (3 anunturi)
  - C8  (1 anunturi)
  - Cactus  (19 anunturi)
  - Ds3  (1 anunturi)
  - Ds3 Thp  (1 anunturi)
  - Ds4  (5 anunturi)
  - Ds4 Vti  (1 anunturi)
  - Ds5  (15 anunturi)
  - Ds5 E  (2 anunturi)
  - Ds5 Hybrid4  (2 anunturi)
  - Ds5 Sport Chic  (1 anunturi)
  - Ds7  (4 anunturi)
  - Ds7 Crossback  (1 anunturi)
  - Ds7 Crossback Rivoli  (1 anunturi)
  - Jumper  (10 anunturi)
  - Jumper 22  (1 anunturi)
  - Jumper 35  (1 anunturi)
  - Jumper L1H1 Live  (2 anunturi)
  - Jumper Live  (1 anunturi)
  - Jumper Panorama 81 Clima 2 Zone 140000  (1 anunturi)
  - Jumpy  (10 anunturi)
  - Jumpy 29 L2H1  (1 anunturi)
  - Jumpy 9 Locuri 20Hdi Varianta Lunga  (1 anunturi)
  - Jumpy Eco Xl Profi  (1 anunturi)
  - Jumpy Xl  (1 anunturi)

========================================
🚗 MARCA: Cupra (4 variante de model listate)
========================================
  - Born  (1 anunturi)
  - Formentor  (14 anunturi)
  - Formentor Vz  (2 anunturi)
  - Leon  (6 anunturi)

========================================
🚗 MARCA: Dacia (227 variante de model listate)
========================================
  - Bigster  (1 anunturi)
  - Bigster Mild  (1 anunturi)
  - Doker  (1 anunturi)
  - Dokkar  (1 anunturi)
  - Dokker  (243 anunturi)
  - Dokker 1 5 Blue  (1 anunturi)
  - Dokker 15Dci Euro 5  (1 anunturi)
  - Dokker 5Locuri Blue  (1 anunturi)
  - Dokker Ambiance  (7 anunturi)
  - Dokker Blue  (2 anunturi)
  - Dokker Cod  (1 anunturi)
  - Dokker Fabricare  (1 anunturi)
  - Dokker Laureate  (14 anunturi)
  - Dokker Lovit Avariat  (1 anunturi)
  - Dokker Orange  (1 anunturi)
  - Dokker Portbagaj  (1 anunturi)
  - Dokker Sce  (2 anunturi)
  - Dokker Van  (3 anunturi)
  - Dokker Van 15Dci  (1 anunturi)
  - Dokker Ver-1-6-Basic  (1 anunturi)
  - Duster  (1562 anunturi)
  - Duster - - Black Line  (1 anunturi)
  - Duster -- -Scaune Incalzite -Senzori-Pilot  (1 anunturi)
  - Duster -Ii  (5 anunturi)
  - Duster 09  (1 anunturi)
  - Duster 15 Blue  (1 anunturi)
  - Duster 15Blue  (1 anunturi)
  - Duster 16Sce  (1 anunturi)
  - Duster 2  (2 anunturi)
  - Duster 2 15Dci  (1 anunturi)
  - Duster 2 15Dci E6 Cu Adblue  (1 anunturi)
  - Duster 2X4 15Dci  (1 anunturi)
  - Duster 3 New  (1 anunturi)
  - Duster 3-18  (1 anunturi)
  - Duster 44  (1 anunturi)
  - Duster 65000Km  (1 anunturi)
  - Duster Acces  (2 anunturi)
  - Duster Adventure  (1 anunturi)
  - Duster Ambiance  (6 anunturi)
  - Duster Avariat Lovit  (1 anunturi)
  - Duster Blue  (104 anunturi)
  - Duster Blue 15Dci  (2 anunturi)
  - Duster Celebration  (3 anunturi)
  - Duster Eco G  (1 anunturi)
  - Duster Eco-G  (29 anunturi)
  - Duster Essentiel  (11 anunturi)
  - Duster Euro 6  (1 anunturi)
  - Duster Hev  (1 anunturi)
  - Duster Ii  (2 anunturi)
  - Duster Journey  (5 anunturi)
  - Duster Laureate  (25 anunturi)
  - Duster Sce  (15 anunturi)
  - Duster Sl Avantaj Blue15Dci  (2 anunturi)
  - Duster Sr Dhd4  (1 anunturi)
  - Duster Technoroad  (1 anunturi)
  - Duster Ver  (1 anunturi)
  - Jogger  (135 anunturi)
  - Jogger 5 Locuri  (9 anunturi)
  - Jogger 5 Locuri Eco-G  (3 anunturi)
  - Jogger 5 Locuri Hev  (2 anunturi)
  - Jogger 7 Locuri  (10 anunturi)
